#ID,#CATEGORY-NAME,#QUANTITY
1,Eikyuu,1
2,Narumi Aisaka,50
3,Tsubame Yuzuki,84
4,Haru Koyama,7
5,Shio Satou,5
6,Minase Suzuka,44
7,Natsuki Nogami,4
8,Mio Namimi,7
9,Kaede Akino,48
10,Kotone Akatsuki,12
11,Ayane,1
12,Uzuki Lilim,10
13,Suika Nishiuri,2
14,Chiroru Oyama,19
15,Yomogi Ashitaba,3
16,Hanami Takanashi,12
17,Igasaki Ayaka,12
18,万愛トマト,1
19,志田もなか,1
20,Koyori Engawa,1
21,Haru Amachi,16
22,Shiharu Kanaya,2
23,ありがた～い私,8
24,Mikoto Yusa,1
25,氷上のあ,3
26,蘭世,1
27,Minami Meibi,1
28,Amu Mochiri,12
29,Rito Ichinose,2
30,Yuka Hinata,64
31,Yukiko Shinomori,4
32,Popura Sawano,6
33,Yukari Aoyama,1
34,Haruru Akiyama,9
35,Izumi Mikoshiba,21
36,Haruno Sakaki,2
37,Kosuzu Momoka,7
38,MOMOKA,19
39,Kanoko,11
40,Soramame,9
41,不破ふわり,1
42,Hano Amane,1
43,Akari Yuzuki,4
44,Shiki Asagi,13
45,Shiho Bubaigawara,10
46,Nanami Mizuno,1
47,鳴先そら,1
48,Megumu Morino,2
49,Tsukushi Haruno,1
50,Ryou Suzuki,6
51,Gemiko Yamada,10
52,Amane Mizuchi,4
53,Nodoka Nishiura,4
54,Koibane Moko,2
55,Yui Otokura,9
56,Raichi Annin,1
57,床貓,2
58,Kotoka,2
59,風慈宮ユキ,1
60,Mei Misonoo,2
61,Aoi Tokio,1
62,Mako Ayane,4
63,Rima Nemurine,2
64,Satsuki Sonomiya,3
65,Kotoza,1
66,乙倉碧,1
67,Aino Mimori,10
68,Kannazuki Honoka,1
69,Flan Kulumu,3
70,都みみち(三八みみち),3
71,滅茶ねむ,2
72,早緒きむり,1
73,しゃふ,2
74,Jumi,1
75,Mitsu Anzu,1
76,葉鳥なゆ,1
77,夢咲みるく,1
78,Kana Iino,1
79,咲坂栞,2
80,小鳥遊いと,2
81,能登麻美子,1
82,Karin Inoue,2
83,Yuki Usagi,1
84,Run Hanami,2
85,山田麗奈,1
86,Mitaka Rin,1
87,Nachu Aizawa,5
88,木崎彩音,1
89,Erena Kaibara,1
90,藤村理央,1
91,未想可みいろ,1
92,Maria Ayana,1
93,Kumoko Jorouin,1
94,まあ油るる,1
95,Ruina Himeki,1
96,Mikan Yomoyama,1
97,ユリハラ虧夕,1
98,Paco Shirakawa,1
99,Riyuu,1
100,Hina Ayame,1
101,白井るか,1
102,笹木ころん,1
103,Seika Ayakura,1
104,Amamiya Suzuka,1
105,星野天,4
106,Nanana,1
107,Musubi Aono,4
108,朝野宇咲,1
109,若山詩音,1
110,竹早芽衣,2
111,楓まろん,1
112,Hiyori Misaki,1
113,Shinoka Tenjo,1
114,Emi Sakura,1
115,Natsuka Hano,1
116,八乙女しゃむ,1
117,Phan Masaki,1
118,Yuki Akashi,3
119,Mashiro Kazahana,1
120,Amamiya Mei,1
121,Chiyuri Yugi,2
122,鮎乃さしみ,1
123,伊倉える,2
124,豊川ゆき,1
125,佐京柚音,1
126,いぬです,1
127,Yukina Izumi,1
128,猫視ねこ,5
129,Nami Saionji,2
130,STELLA,2
131,鳴宮なる,1
132,Yuzuko Konoe,1
133,神間みと,1
134,Hotaru Kamiari,1
135,川乃瀬由羽,1
136,Yuzuhara Miu,1
137,Rio Fujimura,1
138,星月るな,1
139,三久悠,1
140,Himari,1
141,Minami Imaya,1
142,奏星イト,1
143,雪見だいふく,2
144,碧棺らむだ,1
145,具羅津ちえ,1
146,双葉すずね,2
147,白瀬ほなみ,1
148,Aoi Hinamori,1
149,Riruru Kimino,1
150,Sarah Ayumi,2
151,都みみち,1
152,鬼霧茜,1